Date,Type du train,Axe,Départ,Arrivée,Nombre de trains programmés,Nombre de trains annulés,Nombre de trains ayant circulé,Nombre de trains en retard à l'arrivée,Régularité (avec erreurs),Régularité,Commentaires,Comparaison moyenne
2016-08,TGV,Sud-Est,PARIS LYON,CHAMBERY CHALLES LES EAUX,56,0,56,1,"98,2%","98,2%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,ANNECY,117,1,116,2,"97,4%","97,4%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,LYON PART DIEU,461,0,461,15,"96,7%","96,7%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,DIJON VILLE,437,0,437,22,"95,0%","95,0%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,BESANCON FRANCHE COMTE TGV,185,0,185,11,"94,1%","94,1%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,BELLEGARDE (AIN),177,0,177,11,"93,8%","93,8%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,GRENOBLE,199,0,199,14,"93,0%","93,0%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,MARSEILLE ST CHARLES,486,1,485,34,"92,8%","92,8%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,VALENCE ALIXAN TGV,309,3,306,20,"92,6%","92,6%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,AIX EN PROVENCE TGV,489,0,489,37,"92,4%","92,4%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,TOULON,304,6,298,20,"91,4%","91,4%",Dérangement télécommande poste d'aiguillage,mieux
2016-08,TGV,Sud-Est,PARIS LYON,AVIGNON TGV,528,0,528,48,"90,9%","90,9%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,MULHOUSE VILLE,275,0,275,27,"90,2%","90,2%",,mieux
2016-08,TGV,Sud-Est,PARIS LYON,MONTPELLIER,371,6,365,41,"87,3%","87,3%",,moins bien
2016-08,TGV,Sud-Est,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,195,0,195,26,"86,7%","86,7%",,moins bien
2016-08,TGV,Sud-Est,PARIS LYON,NIMES,372,4,368,46,"86,6%","86,6%",,moins bien
2016-08,TGV,Sud-Est,PARIS LYON,NICE VILLE,275,6,269,33,"85,8%","85,8%",Dérangement télécommande poste d'aiguillage,moins bien
2016-08,TGV,Sud-Est,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,110,3,107,13,"85,5%","85,5%",,moins bien
2016-08,TGV,Sud-Est,PARIS LYON,PERPIGNAN,199,5,194,40,"77,4%","77,4%",Incendies et collision d'un TER avec un arbre,moins bien
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,ANGERS SAINT LAUD,386,0,386,31,"92,0%","92,0%",,mieux
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,VANNES,259,0,259,22,"91,5%","91,5%","Ce mois-ci l'OD a été touchée par plusieurs incidents: Le 9 : heurt d’un animal sur la ligne grande vitesse (Massy) (16 TGV ; 430mn) Le 16 : Défaillance matérielle sur la ligne grande vitesse (St Arnoult) (11 TGV ; 405mn) Le 26 : conséquences des fortes chaleurs à Connerré (18 TGV ; 263mn) Le 26 : heurt d’un véhicule à St Pierre la Cour (69 TGV ; 4398mn) Le 27 : dérangement d’installation sur la ligne grande vitesse (St Cyr) (24 TGV ; 907mn) Le 31 : Début d’incendie sur un TER à Neau (16 TGV ; 355mn) Le 31 : dérangement d’installation sur la ligne grande vitesse (St Léger) (23 TGV ; 410mn) et plusieurs jours dans le mois, des mesures de limitation de vitesse  entre Connerré et Le Mans et à Rennes dues aux fortes chaleurs",mieux
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,POITIERS,504,1,503,42,"91,5%","91,5%",,mieux
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,ST PIERRE DES CORPS,453,1,452,38,"91,4%","91,4%",,mieux
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,LAVAL,229,0,229,21,"90,8%","90,8%",,mieux
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,NANTES,506,0,506,48,"90,5%","90,5%",,mieux
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,BREST,237,0,237,23,"90,3%","90,3%","Ce mois-ci l'OD a été touchée par plusieurs incidents: Le 9 : heurt d’un animal sur la ligne grande vitesse (Massy) (16 TGV ; 430mn) Le 16 : Défaillance matérielle sur la ligne grande vitesse (St Arnoult) (11 TGV ; 405mn) Le 26 : conséquences des fortes chaleurs à Connerré (18 TGV ; 263mn) Le 26 : heurt d’un véhicule à St Pierre la Cour (69 TGV ; 4398mn) Le 27 : dérangement d’installation sur la ligne grande vitesse (St Cyr) (24 TGV ; 907mn) Le 31 : Début d’incendie sur un TER à Neau (16 TGV ; 355mn) Le 31 : dérangement d’installation sur la ligne grande vitesse (St Léger) (23 TGV ; 410mn) et plusieurs jours dans le mois, des mesures de limitation de vitesse  entre Connerré et Le Mans et à Rennes dues aux fortes chaleurs",mieux
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,QUIMPER,218,0,218,22,"89,9%","89,9%","Ce mois-ci l'OD a été touchée par plusieurs incidents: Le 9 : heurt d’un animal sur la ligne grande vitesse (Massy) (16 TGV ; 430mn) Le 16 : Défaillance matérielle sur la ligne grande vitesse (St Arnoult) (11 TGV ; 405mn) Le 26 : conséquences des fortes chaleurs à Connerré (18 TGV ; 263mn) Le 26 : heurt d’un véhicule à St Pierre la Cour (69 TGV ; 4398mn) Le 27 : dérangement d’installation sur la ligne grande vitesse (St Cyr) (24 TGV ; 907mn) Le 31 : Début d’incendie sur un TER à Neau (16 TGV ; 355mn) Le 31 : dérangement d’installation sur la ligne grande vitesse (St Léger) (23 TGV ; 410mn) et plusieurs jours dans le mois, des mesures de limitation de vitesse  entre Connerré et Le Mans et à Rennes dues aux fortes chaleurs",mieux
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,ST MALO,120,0,120,14,"88,3%","88,3%","Ce mois-ci l'OD a été touchée par plusieurs incidents: Le 9 : heurt d’un animal sur la ligne grande vitesse (Massy) (16 TGV ; 430mn) Le 16 : Défaillance matérielle sur la ligne grande vitesse (St Arnoult) (11 TGV ; 405mn) Le 26 : conséquences des fortes chaleurs à Connerré (18 TGV ; 263mn) Le 26 : heurt d’un véhicule à St Pierre la Cour (69 TGV ; 4398mn) Le 27 : dérangement d’installation sur la ligne grande vitesse (St Cyr) (24 TGV ; 907mn) Le 31 : Début d’incendie sur un TER à Neau (16 TGV ; 355mn) Le 31 : dérangement d’installation sur la ligne grande vitesse (St Léger) (23 TGV ; 410mn) et plusieurs jours dans le mois, des mesures de limitation de vitesse  entre Connerré et Le Mans et à Rennes dues aux fortes chaleurs",mieux
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,LE MANS,425,0,425,51,"88,0%","88,0%",,moins bien
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,TOURS,184,0,184,23,"87,5%","87,5%",,moins bien
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,RENNES,543,0,543,69,"87,3%","87,3%",,moins bien
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,BORDEAUX ST JEAN,654,1,653,94,"85,5%","85,5%",Ce mois-ci l'OD a été touchée par plusieurs incidents: Le 8 : accident de personne au nord de Poitiers (31 TGV ; 2035mn) Le 8 : accident de personne à Libourne (16 TGV ; 746mn) Le 9 : heurt d’un animal sur la ligne grande vitesse (Massy) (16 TGV ; 430mn) Le 13 : Dérangements d’installation à Angoulême (13 TGV ; 850mn) Le 16 : Défaillance matérielle sur la ligne grande vitesse (St Arnoult) (11 TGV ; 405mn) Le 23 : suspicion de fuite de MD à Angoulême (24 TGV ; 1344mn) Le 27 : dérangement d’installation sur la ligne grande vitesse (St Cyr) (24 TGV ; 907mn) Le 30 : suspicion de fuite de MD à Luxé (28 TGV ; 1568mn) Le 31 : dérangement d’installation sur la ligne grande vitesse (St Léger) (23 TGV ; 410mn),moins bien
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,ANGOULEME,334,1,333,55,"83,2%","83,2%",,moins bien
2016-08,TGV,Atlantique,PARIS MONTPARNASSE,LA ROCHELLE VILLE,220,2,218,40,"80,9%","80,9%",,moins bien
